Periodo,Tasa Natalidad bruta
1984-08-31,12.463333333333306
1984-07-31,12.494166666666695
1984-06-30,12.525
1984-05-31,12.555833333333306
1984-04-30,12.586666666666694
1984-03-31,12.6175
1984-02-29,12.648333333333307
1984-01-31,12.679166666666696
1983-12-31,12.71
1983-11-30,12.781666666666602
1983-10-31,12.8533333333334
1983-09-30,12.925
1983-08-31,12.996666666666602
1983-07-31,13.068333333333399
1983-06-30,13.14
1983-05-31,13.211666666666602
1983-04-30,13.283333333333399
1983-03-31,13.355
1983-02-28,13.426666666666602
1983-01-31,13.498333333333399
1982-12-31,13.57
1982-11-30,13.614166666666627
1982-10-31,13.658333333333374
1982-09-30,13.7025
1982-08-31,13.746666666666627
1982-07-31,13.790833333333374
1982-06-30,13.835
1982-05-31,13.879166666666626
1982-04-30,13.923333333333373
1982-03-31,13.9675
1982-02-28,14.011666666666626
1982-01-31,14.055833333333373
1981-12-31,14.1
1981-11-30,14.193333333333248
1981-10-31,14.28666666666675
1981-09-30,14.379999999999999
1981-08-31,14.47333333333325
1981-07-31,14.566666666666752
1981-06-30,14.66
1981-05-31,14.753333333333249
1981-04-30,14.846666666666751
1981-03-31,14.940000000000001
1981-02-28,15.03333333333325
1981-01-31,15.126666666666752
1980-12-31,15.22
1980-11-30,15.299166666666595
1980-10-31,15.378333333333407
1980-09-30,15.457500000000001
1980-08-31,15.536666666666596
1980-07-31,15.615833333333406
1980-06-30,15.695
1980-05-31,15.774166666666597
1980-04-30,15.853333333333406
1980-03-31,15.932500000000001
1980-02-29,16.011666666666596
1980-01-31,16.090833333333407
1979-12-31,16.17
1979-11-30,16.25999999999992
1979-10-31,16.350000000000083
1979-09-30,16.44
1979-08-31,16.52999999999992
1979-07-31,16.620000000000083
1979-06-30,16.71
1979-05-31,16.79999999999992
1979-04-30,16.890000000000082
1979-03-31,16.98
1979-02-28,17.06999999999992
1979-01-31,17.160000000000082
1978-12-31,17.25
1978-11-30,17.309166666666613
1978-10-31,17.368333333333386
1978-09-30,17.427500000000002
1978-08-31,17.486666666666615
1978-07-31,17.545833333333388
1978-06-30,17.605
1978-05-31,17.664166666666613
1978-04-30,17.723333333333386
1978-03-31,17.7825
1978-02-28,17.841666666666615
1978-01-31,17.900833333333388
1977-12-31,17.96
1977-11-30,18.02416666666661
1977-10-31,18.08833333333339
1977-09-30,18.1525
1977-08-31,18.216666666666608
1977-07-31,18.280833333333394
1977-06-30,18.345
1977-05-31,18.409166666666607
1977-04-30,18.473333333333393
1977-03-31,18.5375
1977-02-28,18.60166666666661
1977-01-31,18.665833333333392
1976-12-31,18.73
1976-11-30,18.727500000000003
1976-10-31,18.724999999999998
1976-09-30,18.7225
1976-08-31,18.720000000000002
1976-07-31,18.717499999999998
1976-06-30,18.715
1976-05-31,18.712500000000002
1976-04-30,18.709999999999997
1976-03-31,18.7075
1976-02-29,18.705000000000002
1976-01-31,18.702499999999997
1975-12-31,18.7
